2015_NDVI,GEOID10
0.145652506,42101007800
0.110909893,42101011500
0.206736904,42101011700
0.101684647,42101011800
0.172237116,42101011900
0.250591593,42101012000
0.102729901,42101013100
0.087507065,42101013200
0.054078432,42101013300
0.114759393,42101013500
0.087286988,42101013700
0.159421363,42101017100
0.106359686,42101017300
0.119634221,42101017400
0.105351786,42101017800
0.111562584,42101017900
0.090024066,42101018800
0.221825668,42101021700
0.252120788,42101021800
0.283364258,42101023500
0.254237537,42101023600
0.225899735,42101023700
0.197954437,42101023800
0.163541079,42101024000
0.206766905,42101025700
0.242653757,42101025800
0.131328328,42101025900
0.173333884,42101026000
0.171273473,42101026100
0.183637505,42101026200
0.14321829,42101026302
0.189361982,42101026400
0.154010379,42101026500
0.178522555,42101026600
0.113061738,42101026700
0.177903312,42101026800
0.152171528,42101029900
0.139773567,42101030000
0.170049635,42101030100
0.122025819,42101030200
0.166006254,42101030600
0.174229502,42101030700
0.20032104,42101030800
0.164689116,42101030900
0.147404334,42101031000
0.114773664,42101031200
0.115609276,42101031300
0.082191281,42101031600
0.14320294,42101031700
0.255030322,42101036303
0.184886843,42101034900
0.135946008,42101026301
0.024073313,42101000804
0.046136701,42101001202
0.106071405,42101000803
0.053274934,42101002702
0.084699843,42101003002
0.046117234,42101003001
0.035037545,42101002802
0.042435871,42101002701
0.108574013,42101980600
0.135713246,42101033701
0.188216006,42101033702
0.104975127,42101031502
0.085572618,42101031401
0.117769695,42101031402
0.104956576,42101016701
0.075101159,42101016702
0.168889746,42101027901
0.239761378,42101027902
0.070853007,42101008101
0.096066706,42101007102
0.107324701,42101008802
0.09537232,42101008702
0.109328256,42101008701
0.080115405,42101008102
0.054450324,42101008602
0.059218292,42101018002
0.070274794,42101008801
0.142338974,42101009801
0.100106676,42101007101
0.027522197,42101002801
0.060236428,42101001101
0.117167928,42101027402
0.101632344,42101008601
0.197566505,42101036502
0.054425162,42101036700
0.053405746,42101037600
0.258746601,42101038900
0.262363277,42101026900
0.2428411,42101027000
0.172944137,42101027500
0.133921109,42101027600
0.145569877,42101027700
0.138273679,42101027800
0.150990576,42101028000
0.169407265,42101028100
0.15609021,42101028200
0.11957382,42101031800
0.17778347,42101031900
0.089876,42101032000
0.116339278,42101032100
0.142076012,42101032300
0.144110312,42101032500
0.08233469,42101032600
0.072367997,42101033000
0.188661681,42101033200
0.176202645,42101036302
0.12737127,42101037200
0.137206716,42101038300
0.128768116,42101039000
0.109542752,42101037700
0.203174684,42101036501
0.287670619,42101012100
0.118155254,42101036900
0.164309174,42101005000
0.119023015,42101001201
0.205269749,42101020600
0.308435301,42101038500
0.190931314,42101012201
0.193063658,42101036202
0.291120093,42101029200
0.176048388,42101027200
0.164833444,42101036301
0.349206202,42101980100
0.202522642,42101029000
0.120168255,42101019100
0.077888309,42101001300
0.166175092,42101035500
0.157882693,42101018300
0.224853105,42101021500
0.20776821,42101989100
0.353583775,42101980800
0.161754461,42101034701
0.15817245,42101008301
0.321446545,42101038600
0.202455836,42101034801
0.170858703,42101035602
0.261514725,42101037300
0.23836309,42101036400
0.202600506,42101034802
0.231470325,42101034400
0.220549371,42101034803
0.236153989,42101021600
0.233605265,42101036201
0.248506683,42101005400
0.104997093,42101019000
0.070607967,42101000300
0.13277956,42101020900
-0.030901642,42101036600
0.097122408,42101017500
0.237073635,42101035301
0.145746457,42101980900
0.175349568,42101032900
0.150210309,42101034600
0.179105903,42101980300
0.230033429,42101028902
0.112056635,42101036000
0.144571915,42101008200
0.061979379,42101000401
0.22681415,42101035302
0.273368574,42101038800
0.270626097,42101023900
0.075528449,42101038100
0.177731482,42101006900
0.303876627,42101021900
0.203911872,42101012204
0.296494363,42101980500
0.105822465,42101003300
0.173112651,42101035100
0.147147366,42101980400
0.111142376,42101021000
0.047069394,42101000700
0.149934185,42101027100
0.127949997,42101012500
0.206447981,42101036203
-0.031345519,42101014300
0.014629719,42101014200
0.254667316,42101025600
0.118155315,42101037800
0.146532646,42101035701
0.208483604,42101035900
0.210157205,42101035601
0.092995847,42101000801
0.259141349,42101035200
0.173734366,42101020700
0.168013365,42101021400
0.237979648,42101037500
0.240793897,42101034000
0.201245516,42101035800
0.335007695,42101980200
0.048183342,42101018400
0.16327911,42101017000
0.191485977,42101006400
0.31574535,42101038700
0.19881438,42101036100
0.255072385,42101980000
0.345533656,42101022000
0.189479373,42101005500
0.095163551,42101038200
0.238386312,42101006500
0.296065396,42101023100
0.073194326,42101980700
0.16523279,42101027300
